Date,Price_Close,Price_High,Price_Low,Price_Open,Price_Volume
16-11-2000,21.21075821,21.99919074,21.21075821,21.3645987,92128600
17-11-2000,21.24921417,21.53766504,20.8598055,21.36459452,106525600
20-11-2000,20.67232132,21.07615271,20.17233959,20.96077231,80157200
21-11-2000,20.84539413,21.30691578,20.73001372,20.73001372,59487600
22-11-2000,20.99922752,21.38382876,20.3069453,20.32617536,76343200
24-11-2000,21.51844406,21.67228459,21.07615254,21.22999307,34439200
27-11-2000,21.74921799,22.22996993,21.72998791,21.97997892,85307600
28-11-2000,20.61463547,21.46075857,20.55694526,21.34537814,127446200
29-11-2000,20.01850128,20.65309354,19.4608293,20.5569432,98280400
30-11-2000,17.65320778,19.09546332,17.53782734,19.07623324,197200800
01-12-2000,17.42244148,18.65316583,17.24937087,17.86473304,109809800
04-12-2000,17.36475754,18.1531906,16.98015604,17.61474851,80407200
05-12-2000,18.42239761,18.61469821,17.92241605,18.21086695,101734400
06-12-2000,17.44166946,18.480093,17.24936881,18.46086294,90560800
07-12-2000,16.34556007,16.61478106,16.07633908,16.44171043,145308400
08-12-2000,16.74938583,17.19167731,16.44170481,16.80707603,120939800
11-12-2000,17.86472702,18.0762577,16.92245401,17.0762945,95576200
12-12-2000,17.96088219,18.46086392,17.46090046,17.78781159,63106000
13-12-2000,17.61474228,18.61470581,17.4801318,18.61470581,98360400
14-12-2000,17.07629967,18.07145564,17.03783953,17.82627229,71201400
15-12-2000,15.13405895,15.99941175,14.69176752,15.7061533,116899800
18-12-2000,14.71100712,15.38405973,14.46101615,15.07637854,107187400
19-12-2000,13.78795528,14.76868851,13.69180497,14.59561794,120271800
20-12-2000,12.76876831,13.53797122,12.73030817,13.17259984,149037800
21-12-2000,13.36489105,13.88410265,12.4033881,12.53799851,163173000
22-12-2000,14.28793716,14.49946786,13.76872545,13.76872545,109551800
26-12-2000,14.42255211,14.94176398,14.114871,14.42255211,66941600
27-12-2000,14.28793716,14.40331755,13.8456457,14.19178685,69003800
28-12-2000,13.71103382,14.23024548,13.49950315,13.88410437,77619200
29-12-2000,13.34566593,14.09563851,13.23028553,13.51873653,99977600
02-01-2001,13.34566593,13.84564765,13.1918254,13.57642673,82413200
03-01-2001,14.74945736,15.03790829,13.2687426,13.28797267,135962200
04-01-2001,14.90330601,15.53789839,14.4225542,14.71100528,112397000
05-01-2001,15.11483765,15.34559853,14.63408581,14.92253691,93414600
08-01-2001,15.05713463,15.30712537,14.36485258,15.05713463,79817600
09-01-2001,15.94172382,16.19171467,15.30713168,15.38405194,114965400
10-01-2001,16.2686348,16.55708577,15.61481259,15.69173285,90230200
11-01-2001,16.92245674,17.15321752,16.09556397,16.30709468,101854800
12-01-2001,16.46093369,16.92245519,16.15325268,16.88399507,73712000
16-01-2001,16.17248917,16.46094022,15.73019755,16.42248008,68462400
17-01-2001,16.28786659,16.88399866,16.17248619,16.49939733,72844200
18-01-2001,17.07629967,17.28783041,16.19171658,16.51862772,109788800
19-01-2001,18.76853943,18.90314985,18.11471736,18.46085845,209348800
22-01-2001,18.49932289,18.76854381,18.15318171,18.69162354,76673000
23-01-2001,18.63393211,18.7493125,18.13395045,18.38394128,70295200
24-01-2001,19.36467361,19.51851412,18.6916214,18.76854166,110455000
25-01-2001,19.01853752,19.69158991,18.94161725,19.30698855,85657400
26-01-2001,19.69159126,19.78774161,18.76854792,18.76854792,93080000
29-01-2001,19.84542656,19.88388669,19.53774553,19.55697559,84983800
30-01-2001,19.49928856,19.92235005,19.34544802,19.84542978,57276800
31-01-2001,18.78778267,19.61467587,18.76855259,19.38391497,81898800
01-02-2001,19.19160843,19.2685287,18.57624623,18.71085671,71792800
02-02-2001,18.71085739,19.49929023,18.69162732,19.23006926,71100000
05-02-2001,19.05699348,19.09545361,18.53778175,18.69162227,51399200
06-02-2001,19.24929619,19.63389751,18.98007526,19.09545566,96442000
07-02-2001,19.90311623,20.01849661,19.01853328,19.07622347,126061800
08-02-2001,19.15314674,19.84542916,19.07622648,19.61466835,88041200
09-02-2001,18.19164085,18.94161336,17.99934021,18.86469311,100575200
12-02-2001,18.07626152,18.28779224,17.59550988,18.09549159,71289400
13-02-2001,17.90319252,18.78777561,17.88396245,18.34548406,76070600
14-02-2001,17.96088219,18.15318285,17.34552006,17.73012139,61728400
15-02-2001,18.0954895,18.51855089,17.80703855,18.15317969,65627800
16-02-2001,17.63397598,17.92242706,17.26860462,17.53782562,66958400
20-02-2001,17.19168091,17.9224235,17.03784036,17.65320254,60730800
21-02-2001,17.30706406,17.86473612,16.98015285,16.99938292,63947200
22-02-2001,16.98015594,17.48013789,16.57632438,17.32629729,100816400
23-02-2001,17.46090698,17.69166787,16.71093411,16.74939425,92620600
26-02-2001,18.32625389,18.44163429,17.65320154,17.73012181,87936800
27-02-2001,18.26856613,18.82623815,18.05222785,18.26856613,99148600
28-02-2001,18.15317345,18.48489192,17.90318271,18.32624396,84608400
01-03-2001,18.2637558,18.30702345,17.30705998,18.01857245,81781600
02-03-2001,17.44166946,17.88396097,17.3647492,17.69166032,79800800
05-03-2001,17.67243195,18.03780323,17.403211,17.61474174,49383600
06-03-2001,18.2877903,18.46086087,17.96087922,18.03779947,66781800
07-03-2001,18.67239761,18.8070081,18.24933608,18.42240671,59743600
08-03-2001,18.23009872,18.64354506,17.98010792,18.55700978,54626000
09-03-2001,17.44166946,17.90319104,16.88399756,17.82627078,103794400
12-03-2001,15.98018932,16.92246282,15.88403897,16.82631246,114376000
13-03-2001,16.67245865,16.84552915,15.99940668,16.05709685,91035600
14-03-2001,16.61476898,16.99937012,16.05709734,16.15324762,90686200
15-03-2001,16.51862717,17.25417721,16.46093697,17.0186089,71638400
16-03-2001,16.78784943,16.96092004,16.14844966,16.15325718,112848800
19-03-2001,16.71092796,17.07629923,16.3455567,16.76861816,61036400
20-03-2001,16.21094894,17.26860279,16.19171887,16.78785104,91822800
21-03-2001,15.40328503,16.38401853,15.30713468,16.07633743,124988600
22-03-2001,16.61476898,16.63399904,15.53788581,15.55711586,126363200
23-03-2001,17.40321541,17.53782591,16.73016288,16.90323353,99519600
26-03-2001,17.2493763,17.691668,17.09553571,17.57628755,63118600
27-03-2001,17.92242432,18.01857466,17.19168169,17.2493719,95135600
28-03-2001,17.09552574,17.82626812,17.03783555,17.65319756,78681600
29-03-2001,17.03783989,17.59551185,16.78784901,17.03783989,86985000
30-03-2001,16.82630157,17.28782299,16.57631081,17.15321258,91201600
